,smiles
113,CC(=O)C1CCC2C1(CCC3C2CC(C4=CC(=O)CCC34C)O)C
114,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(=O)C4)C)O)C
115,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C
116,C(C(C(CO)O)O)C(=O)C=O
117,COC1=CC=CC=C1CO
118,CC(C1=CC(=CC=C1)Cl)O
119,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
120,CC(=O)C(Cl)Cl
121,CCCCCC(CC=CO)O
122,CCCCC(=O)C1=CC=CC=C1
123,CCOC(=O)CC(=O)CBr
124,CCCCCC(=O)C=CC1C(CC(C1CCCCCCC(=O)O)O)O
125,CC(=O)C1=CC=CO1
126,CC(C)(CO)C(C(=O)[O-])O
127,C1=CC=C2C(=C1)C=CC3=C2N=NC=C3
128,CC(=O)C(C(=O)O)N
129,C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O
130,CCCCO
131,C1=CC=C(C(=C1)C=O)O
132,CC1=C(C=C(C=C1)CO)C
133,CC1(C2CCC1(C(C2)(C)O)C)C
134,CCCCCO
135,C1CC(=O)NC1
136,C(C=O)I
137,CC1=CC=CC=C1
138,C(C(C(C(COP(=O)([O-])[O-])O)O)O)NC1=C(C(=O)NC(=O)N1)N
139,CCCCCCCCC(C=CC=CC=CC=CC=CC=CC(=O)O)O
140,CC(CC(=O)OC)O
141,C(C=CCO)O
142,CC(=O)CC1=CC=CC=C1
143,C1C(C(OC1=O)CO)O
144,CC(=O)C1(CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O
145,CC(C(C(=O)O)N)O
146,C1C(C(C(CC1(C(=O)[O-])O)O)O)O
147,C1=CC=C(C=C1)C(=O)CCl
148,C1=CC(=CC=C1C=O)N
149,C1=CC(=C(C=C1C=CC=O)O)O
150,C1=CC=C(C=C1)C(=O)C(F)F
151,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
152,C1=CC(=CC=C1C(C=O)O)O
153,C1CC2CC(CC1N2CCF)O
154,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
155,CC(CCO)O
156,CCC1CCC(CC1)O
157,C=O
158,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(=O)C4)C)C)C(C)C
159,C(CS)O
160,CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O
161,C1CCC(=O)C(C1)Cl
162,C1=CC2=C(C=C1Br)C(=O)C(=O)N2
163,C1=CC(=CC=C1C=CCO)O
164,CC(C)CCC=O
165,C1CC2=CC=CC=C2C1O
166,CC(C=C)O
167,C1CC(=O)CN(C1)CC2=CC=CC=C2
168,CC1C(=O)C(C(C(O1)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O
169,CC(C(Cl)Cl)O
170,C1=CC=C(C=C1)C(C2=CC=NC=C2)O
171,CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2C(=O)CC4C3(CCC(C4)O)C)O)C
172,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O
173,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C
174,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(CO)O)O)N)O
175,C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)C(=O)[O-])O)O)O)O)O)N=C(NC2=O)N
176,CCC(=O)CO
177,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=C(NC5=O)N)O)O)O)[O-])C(=O)N
178,CC(C)CC(C)O
179,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
180,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
181,C(CC(=O)C(=O)O)CC(=O)O
182,C(C1C(C(C(C(O1)O)O)O)O)O
183,C1=CC=C2C(=C1)C(=CN2)C=O
184,C1C(=O)CC2=CC=CC=C21
185,C1CC(=O)C2=CC=CC=C21
186,CC(CC(C(C=O)O)OC)O
187,CCCCCC=O
188,CCC(C1=CC=CC=C1)O
189,C1=CC(=C(C=C1F)F)CO
190,CC(CC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
191,C1=CC(=CC(=C1)[N+](=O)[O-])CO
192,C(C(=O)O)C(C(=O)C(=O)O)(C(=O)O)O
193,C1=CC=C(C=C1)C(=O)CO
194,C(CC=O)CO
195,COC1=CC(=O)OC(C1)CCC2=CC=CC=C2
196,C[N+](C)(C)CC(CC(=O)[O-])O
197,C1=CC=C(C=C1)C(=O)C2=CN=CC=C2
198,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2CCC4C3(CCC(=O)C4)C)C
199,CC1CCN(CC1)Cl
200,C(C1C(C(C(C(O1)O)O)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O)O
201,CCC(C)C=O
202,CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)C
203,CCCCC(C1=CC=CC=C1)O
204,COC1=CC=C(C=C1)C=CCO
205,CCC(=O)CC
206,CCCCCCCCCC=CC=O
207,COC1=CC=CC(=C1)CO
208,C(C(C(CO)O)O)O
209,CN1C2CC(CC1C3C2O3)O
210,CC12CCC(CC1CCC3C2CCC4(C3CC=C4O)C)O
211,C(C1C(C(C(C(O1)O)N)O)O)O
212,CCCCCC(C)O
213,CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
214,CCOC(=O)C(C(C)O)Cl
215,C1=NC(=S)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
216,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
217,CC(C1=CC=CC=N1)O
218,CC1=CC=C(C=C1)C(=O)C
219,CC(C=CC1=CC=CC=C1)O
220,C1C(C2=CC=CC3=C2C1=CC=C3)O
221,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4(C)C(=O)[O-])O)C)C
222,CCCCCCCCCCCCCCCCOCC(COP(=O)(O)O)O
223,C(C(=O)C(C(C(=O)C(=O)[O-])O)O)O
224,CC(CC(C)O)O
225,CCCCC=O
226,CC(=O)CO
227,CC1=NC=C2COC(=O)C2=C1O
228,C1=CC(=CC=C1C=CC=O)Br
229,CC1CCC(=O)C=CC(=O)OC(CCC(=O)C=CC(=O)O1)C
230,C1=CC=C(C=C1)C=CC=O
231,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34
232,CCCCC(C)O
233,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(C(C4C3(CCC(C4)O)C)O)O)C
234,CCCC(=O)O
235,CC(=O)C1CCCCC1=O
236,CC1CC(=O)CC(C1)(C)C
237,CC12CCC3C(C1CCC2O)CCC4(C3(CCCC4)C)O
238,C1CCC(=O)CC1
239,CN(C)C1=CC=C(C=C1)N=O
240,C1=CC=C2C(=C1)C(C(=O)N2)O
241,CCCCCC(=O)C1=CC=NC=C1
242,CC1=CC2=C(C=C1)NC(=O)C2=O
